row_index,solvent_column,raw_value
266,Ultrapure water,5
268,Ultrapure water,2
272,Ultrapure water,2
273,Ultrapure water,2
276,Ultrapure water,2
283,Ultrapure water,2
284,Ultrapure water,5
292,Ultrapure water,2
293,Ultrapure water,5
295,Ultrapure water,5
296,Ultrapure water,5
299,Ultrapure water,5
300,Ultrapure water,5
302,Ultrapure water,2
303,Ultrapure water,5
304,Ultrapure water,2
305,Ultrapure water,5
307,Ultrapure water,5
309,Ultrapure water,2
312,Ultrapure water,5
313,Ultrapure water,10
314,Ultrapure water,10
361,Ultrapure water,10
362,Ultrapure water,10
363,Ultrapure water,10
364,Ultrapure water,5
365,Ultrapure water,5
366,Ultrapure water,5
367,Ultrapure water,10
368,Ultrapure water,5
369,Ultrapure water,5
377,Ultrapure water,10
380,Ultrapure water,10
381,Ultrapure water,10
382,Ultrapure water,5
384,Ultrapure water,5
385,Ultrapure water,5
391,Ultrapure water,5
392,Ultrapure water,2
394,Ultrapure water,5
395,Ultrapure water,10
396,Ultrapure water,10
397,Ultrapure water,5
399,Ultrapure water,10
400,Ultrapure water,5
401,Ultrapure water,5
404,Ultrapure water,5
405,Ultrapure water,5
407,Ultrapure water,5
408,Ultrapure water,5
411,Ultrapure water,5
412,Ultrapure water,5
413,Ultrapure water,5
414,Ultrapure water,5
415,Ultrapure water,10
416,Ultrapure water,5
417,Ultrapure water,5
422,Ultrapure water,2
423,Ultrapure water,5
424,Ultrapure water,5
425,Ultrapure water,5
427,Ultrapure water,5
428,Ultrapure water,5
435,Ultrapure water,10
437,Ultrapure water,5
438,Ultrapure water,5
446,Ultrapure water,5
448,Ultrapure water,2
450,Ultrapure water,2
451,Ultrapure water,5
455,Ultrapure water,2
456,Ultrapure water,5
458,Ultrapure water,5
460,Ultrapure water,5
461,Ultrapure water,5
462,Ultrapure water,5
463,Ultrapure water,5
464,Ultrapure water,5
465,Ultrapure water,5
466,Ultrapure water,5
467,Ultrapure water,5
469,Ultrapure water,5
470,Ultrapure water,5
471,Ultrapure water,5
472,Ultrapure water,5
649,Ultrapure water,5
650,Ultrapure water,5
651,Ultrapure water,5
652,Ultrapure water,5
653,Ultrapure water,10
654,Ultrapure water,5
656,Ultrapure water,5
659,Ultrapure water,5
660,Ultrapure water,5
661,Ultrapure water,5
665,Ultrapure water,5
666,Ultrapure water,5
667,Ultrapure water,5
668,Ultrapure water,5
669,Ultrapure water,5
672,Ultrapure water,5
673,Ultrapure water,5
674,Ultrapure water,5
675,Ultrapure water,2
683,Ultrapure water,5
684,Ultrapure water,5
687,Ultrapure water,10
688,Ultrapure water,2
693,Ultrapure water,5
696,Ultrapure water,5
697,Ultrapure water,2
698,Ultrapure water,5
700,Ultrapure water,5
706,Ultrapure water,5
708,Ultrapure water,2
710,Ultrapure water,2
712,Ultrapure water,2
713,Ultrapure water,2
714,Ultrapure water,2
717,Ultrapure water,2
719,Ultrapure water,2
720,Ultrapure water,5
721,Ultrapure water,2
727,Ultrapure water,2
729,Ultrapure water,2
731,Ultrapure water,2
732,Ultrapure water,2
733,Ultrapure water,2
735,Ultrapure water,2
736,Ultrapure water,5
740,Ultrapure water,2
741,Ultrapure water,2
745,Ultrapure water,2
747,Ultrapure water,2
748,Ultrapure water,5
749,Ultrapure water,2
753,Ultrapure water,2
755,Ultrapure water,5
756,Ultrapure water,5
268,1X DPBS,2
272,1X DPBS,2
273,1X DPBS,2
293,1X DPBS,2
303,1X DPBS,5
305,1X DPBS,5
307,1X DPBS,2
312,1X DPBS,2
313,1X DPBS,10
314,1X DPBS,10
361,1X DPBS,10
362,1X DPBS,10
363,1X DPBS,10
364,1X DPBS,5
365,1X DPBS,5
366,1X DPBS,5
367,1X DPBS,10
368,1X DPBS,5
369,1X DPBS,5
377,1X DPBS,10
380,1X DPBS,10
381,1X DPBS,10
384,1X DPBS,5
395,1X DPBS,10
396,1X DPBS,10
399,1X DPBS,10
407,1X DPBS,5
411,1X DPBS,5
412,1X DPBS,5
413,1X DPBS,5
414,1X DPBS,2
415,1X DPBS,5
416,1X DPBS,2
417,1X DPBS,5
425,1X DPBS,5
435,1X DPBS,10
437,1X DPBS,5
438,1X DPBS,2
446,1X DPBS,2
448,1X DPBS,2
458,1X DPBS,2
