protocol,model,n_folds,mean_n_train,mean_n_test,mean_train_positive_rate,mean_test_positive_rate,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,mcc_mean,mcc_std,kappa_mean,kappa_std,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,brier_mean,brier_std
pair-stratified,majority_class,1,3083.0,661.0,0.6454751865066494,0.6459909228441755,0.6459909228441755,,0.5,,0.6459909228441755,,1.0,,0.7849264705882353,,0.0,,0.0,,0.5,,0.6459909228441755,,0.3540090771558245,
pair-stratified,sequence_logistic,1,3083.0,661.0,0.6454751865066494,0.6459909228441755,0.6399394856278366,,0.6459797033567525,,0.7739130434782608,,0.6252927400468384,,0.6917098445595855,,0.27950607384941667,,0.27053444742235533,,0.7035869412918594,,0.809127123914227,,0.22039831933003412,
pair-stratified,sequence_solvent_gradient_boosting,1,3083.0,661.0,0.6454751865066494,0.6459909228441755,0.8033282904689864,,0.769546027742749,,0.8235294117647058,,0.8852459016393442,,0.8532731376975169,,0.5596322974038279,,0.5562842094392234,,0.8592245641425968,,0.908362260031109,,0.14041902317414295,
pair-stratified,sequence_solvent_logistic,1,3083.0,661.0,0.6454751865066494,0.6459909228441755,0.7428139183055976,,0.7449208350847696,,0.8445040214477212,,0.7377049180327869,,0.7875,,0.4724185405835956,,0.4655613579507082,,0.8237955123201024,,0.8756799704280928,,0.17266741463552382,
pair-stratified,sequence_solvent_random_forest,1,3083.0,661.0,0.6454751865066494,0.6459909228441755,0.8018154311649016,,0.7664434836565984,,0.8203463203463204,,0.8875878220140515,,0.8526434195725534,,0.555532458899748,,0.5515301868127884,,0.8693228447326808,,0.9122641905788621,,0.14107652471428156,
pair-stratified,solvent_logistic,1,3083.0,661.0,0.6454751865066494,0.6459909228441755,0.6172465960665658,,0.6757391060669748,,0.875,,0.47540983606557374,,0.6160849772382397,,0.3521661717120398,,0.29577506306033163,,0.7273163994475469,,0.798159270086115,,0.2089028857986831,
pair-stratified,stratified_dummy,1,3083.0,661.0,0.6454751865066494,0.6459909228441755,0.5748865355521936,,0.539612482235433,,0.6746411483253588,,0.6604215456674473,,0.6674556213017752,,0.07857649300166272,,0.07854226508510576,,0.539612482235433,,0.6649121490401795,,0.42511346444780634,
sequence-disjoint,majority_class,1,3065.0,678.0,0.6450244698205546,0.6548672566371682,0.6548672566371682,,0.5,,0.6548672566371682,,1.0,,0.7914438502673797,,0.0,,0.0,,0.5,,0.6548672566371682,,0.34513274336283184,
sequence-disjoint,sequence_logistic,1,3065.0,678.0,0.6450244698205546,0.6548672566371682,0.644542772861357,,0.6406791406791407,,0.7692307692307693,,0.6531531531531531,,0.7064555420219245,,0.2692186817380372,,0.2635151580712335,,0.6925001925001925,,0.805497347368411,,0.22187641711013206,
sequence-disjoint,sequence_solvent_gradient_boosting,1,3065.0,678.0,0.6450244698205546,0.6548672566371682,0.7817109144542773,,0.7454088704088704,,0.8148936170212766,,0.8626126126126126,,0.838074398249453,,0.505986662685559,,0.5040626297372635,,0.840701278201278,,0.9020566448435158,,0.14986939257909587,
sequence-disjoint,sequence_solvent_logistic,1,3065.0,678.0,0.6450244698205546,0.6548672566371682,0.7418879056047197,,0.7463328713328713,,0.8530183727034121,,0.7319819819819819,,0.7878787878787878,,0.47207506986313114,,0.46317561147759045,,0.8247333872333873,,0.8846031982449339,,0.17225968677704906,
sequence-disjoint,sequence_solvent_random_forest,1,3065.0,678.0,0.6450244698205546,0.6548672566371682,0.7654867256637168,,0.726957726957727,,0.802547770700637,,0.8513513513513513,,0.8262295081967214,,0.4685746142938373,,0.46664885564164227,,0.8363988988988987,,0.9029332850857239,,0.1575960262652855,
sequence-disjoint,solvent_logistic,1,3065.0,678.0,0.6450244698205546,0.6548672566371682,0.6179941002949852,,0.681046431046431,,0.8870292887029289,,0.4774774774774775,,0.6207906295754027,,0.36031983242514587,,0.29994976917741045,,0.7347251097251097,,0.8094553896606195,,0.20663411651537758,
sequence-disjoint,stratified_dummy,1,3065.0,678.0,0.6450244698205546,0.6548672566371682,0.5678466076696165,,0.5295680295680296,,0.675990675990676,,0.6531531531531531,,0.6643757159221076,,0.058320800127773596,,0.05825297949199315,,0.5295680295680296,,0.6686640845932881,,0.43215339233038347,
solvent-held-out,majority_class,7,3146.4285714285716,629.2857142857143,0.6429753623657081,0.7595381333989126,0.7595381333989126,0.27296881704978915,0.7142857142857143,0.2672612419124244,0.7595381333989126,0.27296881704978915,1.0,0.0,0.8376217078098878,0.19418306150326478,0.0,0.0,0.0,0.0,0.5,0.0,0.5791917334480973,0.21871353160443474,0.2404618666010873,0.27296881704978915
solvent-held-out,sequence_logistic,7,3146.4285714285716,629.2857142857143,0.6429753623657081,0.7595381333989126,0.5107067795520995,0.19437703732304892,0.5153597716344512,0.20148370112452732,0.8401948432029747,0.1766672055953738,0.5440975715479232,0.2391513322036253,0.6036970629477219,0.11980240243428664,0.18330899501105366,0.23036151393912338,0.1765320450094753,0.22144265777273484,0.7239513758107222,0.1442059853397492,0.8051884093516825,0.06607230090182342,0.2934113074668507,0.10020694542725758
solvent-held-out,sequence_solvent_gradient_boosting,7,3146.4285714285716,629.2857142857143,0.6429753623657081,0.7595381333989126,0.5543748336540072,0.1691002678526458,0.5469867949633362,0.1742903342540947,0.7770424451204817,0.24802237847740463,0.742320796203816,0.29027343498246655,0.6808159339235651,0.13907294687027033,0.07977078721120191,0.147676685946211,0.04806948370922123,0.10282384627376408,0.7095409677889817,0.13830316119574482,0.7855995227258192,0.06726970591778322,0.2907537341274065,0.0877622308215852
solvent-held-out,sequence_solvent_logistic,7,3146.4285714285716,629.2857142857143,0.6429753623657081,0.7595381333989126,0.6615958834759622,0.16799773008052513,0.6324814293403537,0.16674726034509615,0.7674464832394158,0.26121774789586094,0.8696360284255251,0.14828779535837489,0.7733472563516477,0.13743513577215513,0.05887796606001716,0.08522037421509499,0.025526082810422124,0.04273431224764924,0.7118762495661854,0.1331439259607255,0.7957813169331205,0.06836393010456393,0.22947253876214943,0.07784569348306912
solvent-held-out,sequence_solvent_random_forest,7,3146.4285714285716,629.2857142857143,0.6429753623657081,0.7595381333989126,0.528873606097491,0.33322006989436415,0.5286891726461918,0.33953768442323146,0.6644940539382501,0.3504869660517436,0.6636346558693146,0.4263834294889692,0.5976649354869175,0.327156067550215,0.14295369438123948,0.24000292682245292,0.1400472960072139,0.21306221033756717,0.7658760069529614,0.156988928203262,0.8371706204381768,0.053083005341838636,0.30150555227817816,0.16796467864873377
solvent-held-out,solvent_logistic,7,3146.4285714285716,629.2857142857143,0.6429753623657081,0.7595381333989126,0.7595381333989126,0.27296881704978915,0.7142857142857143,0.2672612419124244,0.7595381333989126,0.27296881704978915,1.0,0.0,0.8376217078098878,0.19418306150326478,0.0,0.0,0.0,0.0,0.5,0.0,0.5791917334480973,0.21871353160443474,0.1925347437878346,0.11821200573455314
solvent-held-out,stratified_dummy,7,3146.4285714285716,629.2857142857143,0.6429753623657081,0.7595381333989126,0.5663585933757525,0.10141107110671096,0.5646185755533246,0.09496746275074897,0.757966770119679,0.27544800935997643,0.6510411671373599,0.07168900418457406,0.6728222329656229,0.13575505328597035,-0.005534128997307467,0.04033663155279393,-0.0027650488326202505,0.03371746629075898,0.49362437913950036,0.0276086845658271,0.5779881456097649,0.22092546340157895,0.4336414066242475,0.10141107110671098
